,subjID,edgeRT,model,trial,group,block,logRT_ms
297,s61,5976.0,Reward Heuristic,19.0,Incongruent,test,8.695506726812653
298,s61,13033.0,Reward Heuristic,20.0,Incongruent,test,9.47523988153072
299,s61,8185.0,Reward Heuristic,21.0,Incongruent,test,9.010058489805235
300,s61,5246.0,Reward Heuristic,22.0,Incongruent,test,8.56522116042682
301,s61,6427.0,Reward Heuristic,23.0,Incongruent,test,8.768263145371286
302,s62,2981.0,Bayes Optimal Teacher,19.0,Incongruent,test,8.000014093678072
303,s62,4420.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.393894975071744
304,s62,4199.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.342601680684194
305,s62,3036.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.01829613851552
306,s62,4432.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.39660622842712
307,s63,2596.0,Bayes Optimal Teacher,20.0,Incongruent,test,7.86172707782398
308,s63,4480.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.40737832540903
309,s63,4094.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.317277766221235
310,s63,5716.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.651024539049757
311,s64,5072.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.531490496117062
312,s64,3182.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.065265208897733
313,s64,8158.0,Bayes Optimal Teacher,22.0,Incongruent,test,9.006754319877503
314,s64,7137.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.873047798971067
315,s64,6763.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.81922185757494
316,s65,1703.0,Reward Heuristic,20.0,Congruent,test,7.440146680662688
317,s65,2189.0,Reward Heuristic,21.0,Congruent,test,7.691200097522863
318,s65,22427.0,Reward Heuristic,22.0,Congruent,test,10.018020869126289
319,s65,3177.0,Reward Heuristic,23.0,Congruent,test,8.063692634269517
320,s65,1302.0,Reward Heuristic,24.0,Congruent,test,7.171656822768514
321,s66,1960.0,Reward Heuristic,20.0,Congruent,test,7.580699752224563
322,s66,2618.0,Reward Heuristic,21.0,Congruent,test,7.870165946469845
323,s66,5954.0,Reward Heuristic,22.0,Congruent,test,8.691818541575723
324,s66,3950.0,Reward Heuristic,23.0,Congruent,test,8.281470857895167
325,s66,2474.0,Reward Heuristic,24.0,Congruent,test,7.813591552952433
326,s67,12120.0,Bayes Optimal Teacher,20.0,Congruent,test,9.402612259623305
327,s67,11828.0,Bayes Optimal Teacher,21.0,Congruent,test,9.378224880972368
328,s67,10765.0,Bayes Optimal Teacher,22.0,Congruent,test,9.284055409798464
329,s67,8040.0,Bayes Optimal Teacher,23.0,Congruent,test,8.992184362173012
330,s67,14408.0,Bayes Optimal Teacher,24.0,Congruent,test,9.575538886855792
331,s68,5709.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.64979915596426
332,s68,1822.0,Bayes Optimal Teacher,21.0,Incongruent,test,7.507690077819904
333,s68,2254.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.720461694599722
334,s68,1967.0,Bayes Optimal Teacher,23.0,Incongruent,test,7.584264818389059
335,s68,11483.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.34862295977619
